catalogNumber,large JPG,thumbnail,webview
LSU00135638,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135638_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135638_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135638_5_WR.JPG
LSU00135639,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135639_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135639_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135639_5_WR.JPG
LSU00135640,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135640_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135640_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135640_5_WR.JPG
LSU00135641,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135641_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135641_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135641_5_WR.JPG
LSU00135642,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135642_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135642_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135642_5_WR.JPG
LSU00135643,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135643_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135643_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135643_5_WR.JPG
LSU00135644,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135644_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135644_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135644_5_WR.JPG
LSU00135645,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135645_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135645_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135645_5_WR.JPG
LSU00135646,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135646_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135646_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135646_5_WR.JPG
LSU00135647,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135647_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135647_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135647_5_WR.JPG
